# {"t_start": 1551811845.827794, "env_id": "Reacher-v2"} 
r,l,t
-62.796149,50,35.869719
-78.168074,50,35.936643
-81.582158,50,36.002232
-64.137351,50,36.06774
-67.671808,50,36.133229
-72.027687,50,36.199005
-61.070287,50,36.264738
-80.598288,50,36.330364
-79.171887,50,36.396057
-69.108077,50,36.461894
-62.491436,50,36.527584
-72.329359,50,36.593253
-70.609768,50,36.658908
-56.795223,50,36.72446
-81.715871,50,36.790304
-51.257712,50,36.855777
-61.579622,50,36.921455
-57.135869,50,36.987496
-56.044567,50,37.053354
-60.196516,50,37.119182
-78.991715,50,37.184531
-73.285707,50,37.250451
-82.122332,50,37.315911
-66.571361,50,37.381694
-59.714547,50,37.447501
-66.449627,50,37.51317
-75.506974,50,37.578612
-77.025349,50,37.644805
-66.383044,50,37.710209
-66.334865,50,37.775527
-65.620868,50,37.846136
-65.259931,50,37.913011
-81.404033,50,37.978908
-68.522956,50,38.044095
-89.980108,50,38.109885
-58.97289,50,38.175022
-66.488163,50,38.239822
-67.471936,50,39.72985
-92.662009,50,39.787789
-64.566702,50,39.84484
-79.5744,50,39.902558
-66.558883,50,39.96123
-70.064322,50,40.019566
-81.663961,50,40.075461
-59.999729,50,40.12055
-63.324909,50,40.172177
-53.053615,50,40.228469
-64.908091,50,40.285148
-67.440682,50,40.343001
-75.607227,50,40.398483
-64.132093,50,40.462977
-56.610287,50,40.528694
-63.822422,50,40.594758
-50.590018,50,40.660933
-62.746448,50,40.726384
-61.655705,50,40.792011
-70.964096,50,40.85779
-58.959076,50,40.923199
-87.834584,50,40.989558
-59.475705,50,41.05488
-63.089528,50,41.120688
-73.373965,50,41.186287
-61.339539,50,41.251938
-69.600329,50,41.317848
-75.266672,50,41.383472
-65.90316,50,41.449134
-70.57745,50,41.514579
-65.766674,50,41.580301
-65.67666,50,41.645625
-74.37115,50,41.712236
-80.951009,50,41.777738
-75.016213,50,41.843706
-61.424915,50,41.909246
-61.410495,50,41.974832
-63.936415,50,42.04032
-87.816125,50,42.105895
-71.012009,50,42.176062
-63.682317,50,42.242903
-55.345133,50,43.829976
-65.48066,50,43.88486
-49.970985,50,43.942627
-48.653203,50,44.001359
-67.068137,50,44.058192
-53.031391,50,44.116035
-65.716914,50,44.175542
-49.066054,50,44.232774
-64.050135,50,44.294314
-65.51745,50,44.358583
-55.566916,50,44.423157
-60.488092,50,44.487491
-68.929639,50,44.551741
-70.706422,50,44.615939
-64.808162,50,44.680233
-63.328584,50,44.744552
-52.806758,50,44.809015
-61.320657,50,44.873508
-61.212573,50,44.937848
-65.052471,50,45.002237
-60.931288,50,45.066586
-56.424035,50,45.130669
-75.526278,50,45.195128
-63.788974,50,45.260033
-68.198455,50,45.325241
-73.387466,50,45.389726
-77.186296,50,45.453904
-65.563538,50,45.518263
-64.351423,50,45.582908
-54.487841,50,45.647111
-59.327608,50,45.71371
-54.88297,50,45.781135
-83.988341,50,45.847929
-56.492966,50,45.912567
-49.763138,50,45.976825
-59.265647,50,46.04117
-58.719664,50,46.105288
-70.146776,50,46.169371
-65.702195,50,46.233587
-76.555264,50,46.298948
-81.570205,50,46.363874
-61.533361,50,47.938862
-60.517335,50,47.996338
-58.240775,50,48.051421
-58.521496,50,48.107977
-87.870243,50,48.16498
-47.556394,50,48.215924
-62.580089,50,48.273833
-51.857954,50,48.329573
-55.350952,50,48.387276
-60.722358,50,48.445024
-64.747386,50,48.502991
-48.027484,50,48.556062
-57.908296,50,48.606891
-51.222483,50,48.665776
-52.778058,50,48.723432
-71.123386,50,48.774973
-52.604785,50,48.822883
-56.486493,50,48.86763
-54.025005,50,48.911429
-45.391547,50,48.954542
-53.602911,50,48.998686
-52.406048,50,49.042035
-50.496646,50,49.086585
-64.045061,50,49.13161
-60.262747,50,49.176181
-50.534382,50,49.221413
-64.393265,50,49.266578
-79.478758,50,49.311272
-48.435554,50,49.355914
-60.794161,50,49.399401
-50.478585,50,49.442683
-60.307576,50,49.485779
-56.919499,50,49.528575
-72.859091,50,49.578851
-51.668898,50,49.644293
-55.919434,50,49.711132
-64.607162,50,49.777782
-50.8363,50,49.843666
-65.956245,50,49.909318
-44.55635,50,49.974223
-51.823994,50,50.040865
-68.495711,50,51.632553
-51.065935,50,51.69954
-56.304134,50,51.764924
-60.956408,50,51.832451
-49.502311,50,51.89913
-53.286557,50,51.964324
-55.153224,50,52.031997
-61.64066,50,52.099145
-47.856365,50,52.166846
-65.469877,50,52.233789
-40.818378,50,52.301625
-45.235744,50,52.368331
-54.394945,50,52.435847
-65.425453,50,52.503696
-56.575153,50,52.569059
-49.578592,50,52.633769
-41.070669,50,52.691937
-52.95538,50,52.748664
-57.319125,50,52.805361
-60.396688,50,52.858372
-53.683115,50,52.91556
-63.901837,50,52.968628
-42.704072,50,53.02366
-51.364123,50,53.082466
-54.051633,50,53.130044
-53.415734,50,53.185378
-46.444668,50,53.242785
-61.706822,50,53.287792
-45.643697,50,53.340721
-51.195445,50,53.39047
-56.913535,50,53.4458
-43.555811,50,53.496163
-69.733844,50,53.553752
-40.47055,50,53.611001
-54.7056,50,53.668068
-42.646485,50,53.715517
-57.867892,50,53.760326
-44.588763,50,53.816869
-46.049405,50,53.872407
-63.74462,50,53.915605
-54.657905,50,53.959518
-37.54262,50,55.342813
-41.370941,50,55.40859
-49.243259,50,55.474397
-49.472142,50,55.540352
-59.543594,50,55.606112
-41.950226,50,55.671999
-43.797229,50,55.737855
-57.753969,50,55.804098
-45.604818,50,55.869935
-48.449456,50,55.936259
-51.786193,50,56.002634
-45.028884,50,56.068693
-43.516715,50,56.134531
-48.614317,50,56.20069
-39.821907,50,56.266546
-50.803688,50,56.332456
-43.433066,50,56.398305
-50.524153,50,56.464324
-40.089809,50,56.520682
-46.675495,50,56.564022
-39.975815,50,56.607744
-52.439949,50,56.651131
-50.597039,50,56.69498
-40.839479,50,56.738278
-47.946782,50,56.78203
-39.007747,50,56.833633
-45.035733,50,56.890709
-42.496942,50,56.934365
-55.291974,50,56.977571
-56.569616,50,57.022608
-41.420992,50,57.076369
-40.585994,50,57.130434
-49.295621,50,57.184738
-43.137428,50,57.239141
-50.937789,50,57.292873
-52.779581,50,57.350646
-42.558032,50,57.403324
-46.392242,50,57.460541
-56.412988,50,57.516656
-39.806798,50,57.572375
-52.611555,50,57.62859
-45.807456,50,59.228681
-43.223534,50,59.282934
-35.973556,50,59.341166
-37.611265,50,59.398248
-36.547355,50,59.456897
-51.776068,50,59.513339
-47.573542,50,59.565142
-49.359248,50,59.622896
-43.517339,50,59.679724
-53.103874,50,59.736362
-36.668499,50,59.790338
-41.37114,50,59.848779
-44.261629,50,59.896453
-38.093038,50,59.951292
-33.011736,50,60.008927
-39.208458,50,60.069899
-50.147892,50,60.136894
-35.432242,50,60.20388
-40.988032,50,60.270399
-41.45187,50,60.337994
-46.125815,50,60.403942
-33.929726,50,60.469285
-42.263847,50,60.536572
-43.626477,50,60.603546
-48.348199,50,60.669966
-37.180103,50,60.737183
-42.793825,50,60.80402
-40.449577,50,60.871355
-38.036465,50,60.938195
-55.062277,50,61.004699
-42.886152,50,61.071697
-37.947812,50,61.13702
-51.470077,50,61.204258
-45.964299,50,61.271229
-42.010522,50,61.336308
-46.08464,50,61.401836
-38.85587,50,61.467967
-43.99166,50,61.53493
-65.42163,50,61.601734
-50.098205,50,61.66792
-54.086033,50,61.735251
-39.891606,50,63.286589
-49.965067,50,63.341958
-41.44888,50,63.395865
-34.300565,50,63.447953
-49.709629,50,63.504527
-42.959217,50,63.557792
-47.30629,50,63.609237
-40.149764,50,63.661451
-48.975409,50,63.717628
-42.838498,50,63.774161
-45.600425,50,63.829133
-32.707366,50,63.887422
-43.109429,50,63.943402
-39.319904,50,63.999668
-47.637559,50,64.055049
-45.039021,50,64.103775
-31.753776,50,64.159487
-34.617835,50,64.215632
-34.449418,50,64.271361
-38.261744,50,64.326562
-53.617689,50,64.387511
-49.36211,50,64.453688
-40.291511,50,64.519442
-40.202646,50,64.585391
-34.114094,50,64.651233
-47.944693,50,64.717409
-35.8416,50,64.78356
-45.104323,50,64.849464
-38.313176,50,64.915372
-41.67846,50,64.981112
-47.027259,50,65.047364
-38.066374,50,65.113122
-46.087195,50,65.179229
-42.227869,50,65.245191
-37.896205,50,65.311242
-50.95854,50,65.377478
-40.854005,50,65.443605
-37.914582,50,65.509576
-42.099571,50,65.575495
-41.838368,50,65.641493
-45.563718,50,65.7078
-39.180489,50,67.332664
-40.356409,50,67.386561
-41.56724,50,67.440238
-37.934404,50,67.497187
-47.311478,50,67.551006
-39.91734,50,67.60714
-35.137481,50,67.659727
-38.781323,50,67.712677
-44.959473,50,67.76792
-47.691745,50,67.821644
-32.304403,50,67.875342
-34.128469,50,67.9273
-35.348337,50,67.984148
-50.985744,50,68.040191
-42.026393,50,68.097781
-38.234427,50,68.153506
-32.080011,50,68.210053
